Time,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9,Sensor_10,Sensor_11,Sensor_12,Sensor_13,Sensor_14,Sensor_15,Sensor_16,Sensor_17,Sensor_18,Sensor_19,Sensor_20,Sensor_21,Sensor_22,Sensor_23,Sensor_24,Sensor_25,Sensor_26,Sensor_27,Sensor_28,Sensor_29,Sensor_30,Sensor_31,Sensor_32,Sensor_33,Sensor_34,Sensor_35,Sensor_36,Sensor_37,Sensor_38,Sensor_39,Sensor_40,Sensor_41,Sensor_42,Sensor_43,Sensor_44,Sensor_45,Sensor_46,Sensor_47,Sensor_48,Sensor_49,Sensor_50,Sensor_51,Sensor_52,Sensor_53,Sensor_54,Sensor_55,Sensor_56,Sensor_57,Sensor_58,Sensor_59,Sensor_60,Sensor_61,Sensor_62,Sensor_63,Sensor_64,Sensor_65,Sensor_66,Sensor_67,Sensor_68,Sensor_69,Sensor_70,Sensor_71,Sensor_72,Sensor_73,Sensor_74,Sensor_75,Sensor_76,Sensor_77,Sensor_78,Sensor_79,Sensor_80,Sensor_81,Sensor_82,Sensor_83,Sensor_84,Sensor_85,Sensor_86,Sensor_87,Sensor_88,Sensor_89,Sensor_90,Sensor_91,Sensor_92,Sensor_93,Sensor_94,Sensor_95,Sensor_96,Sensor_97,Sensor_98,Sensor_99,Sensor_100,Sensor_101,Sensor_102,Sensor_103,Sensor_104,Sensor_105,Sensor_106,Sensor_107,Sensor_108,Sensor_109,Sensor_110,Sensor_111,Sensor_112,Sensor_113,Sensor_114,Sensor_115,Sensor_116,Sensor_117,Sensor_118,Sensor_119,Sensor_120,Sensor_121,Sensor_122,Sensor_123,Sensor_124,Sensor_125,Sensor_126,Sensor_127,Sensor_128,Sensor_129,Sensor_130,Sensor_131,Sensor_132,Sensor_133,Sensor_134
0,30.59075415240277,22.405729704723434,28.238521479680696,27.319261509900286,20.425541332184856,39.7963777012349,32.33076421554829,32.88328519525219,24.06002749673194,27.28832849678241,19.58100197712394,30.01832725790956,27.410639093513975,26.60737041273075,25.772884908626533,27.707570791964248,23.432232723354755,32.04151725313305,27.951903884347246,21.89735036285263,30.01746026287364,21.508100151985744,24.48751318557819,34.22864355879464,34.93905117249431,23.519204794235282,30.807529008237175,15.66975129942705,33.1752707632589,32.7315797555117,28.77523603332447,27.465296341380753,30.6958606068402,33.09623857306718,37.70434245541221,26.029380587146385,29.830686444774344,25.93575929387861,26.153947458980365,21.851728051724546,31.1554568634085,25.785414061796832,27.88653398228162,31.866819925586405,24.573549425799953,33.35999954190484,28.84944821523231,24.58588676758602,26.51955358630993,32.760018292457374,29.710545302209475,26.300345845565616,36.57346393096967,23.42314017945444,22.176415513840055,25.68654645205032,27.19101902459832,22.439618347002092,25.9771405537601,30.023912060161496,24.63134494419405,25.706313944931132,22.25184439049284,33.69924874546509,25.040128640404358,28.169205688337463,24.833334778278545,27.344824683897354,25.37228322100212,28.84091839401686,23.310849719396852,24.995970491742348,25.139808808812724,25.62674335225287,24.770484908952973,26.401915639287004,24.181307235048067,25.870136355818964,31.876387384107016,28.672285755909044,30.945307469648316,28.779739641407534,29.26366190069308,28.107274880721754,21.342528521421706,31.286343366720153,28.67061091489748,29.904594649654936,27.622792710158286,20.759446120443247,23.756723421856456,21.268641581409867,27.200229239103503,25.969685708445876,19.307525579408505,33.50245442236183,26.51484304873965,30.038395433264526,31.200288850837033,28.634945331759347,27.772840669580614,24.56239683896071,32.60392505235528,24.14569273527351,24.163628374489228,24.878165267126462,36.695589118512835,30.93821995891077,23.074836745977187,27.632224948429563,17.76145659966552,30.757604595972868,30.281233079294978,24.237829890556682,26.810467651477584,34.56737823293028,30.793278780812535,27.458692487573774,33.85722759147752,23.741860073093644,29.090285517754552,28.491765710349505,30.18185800969786,29.730988107857154,27.518781480030633,34.05457075547934,35.13305669270691,22.48966597434766,35.40164373354235,22.684535733414272,21.61133228905566,18.842946395995632,30.65947692752171,21.596911210707468
1,36.89094683032878,33.03589038121838,27.935615254499506,29.08528513784227,32.00035170500117,35.72555115453146,28.816592250760703,27.136191542926838,31.44930499521664,26.99799529865098,38.696847110035954,33.03530964188503,34.76609084654021,30.607711855850656,30.98499998875733,28.089212466879662,31.137734055499926,29.32833323914451,29.620259575537165,28.70667483117732,28.445956327436498,26.331989208556827,26.56560157775729,31.80766360497155,26.51746550046036,27.59741152336892,35.93920354241057,32.401916970092394,27.625506087658238,25.112219330316545,30.591702332165745,30.7256747571251,24.65344685674564,27.201222106799214,28.557961050436315,38.02512147235751,35.63229823490811,30.165787235878007,32.080908216976894,33.884669898728525,34.93757250918359,31.77330544546841,26.07267571529851,36.93243622712358,34.68973317178808,29.133792322649718,29.799283562010018,36.85570267487779,37.50448254650635,37.6284960455593,29.820136383959703,38.62628573662653,27.778902382131974,30.187708595070436,30.991474564008485,39.9310537629422,32.99615341496277,40.25333364020619,33.333000056637985,34.495956767021056,25.774237073995614,32.29683870900816,34.26245211969417,21.707114042811963,27.444306237499166,27.49661465307286,32.57512873900439,28.93479132853634,34.18922496122063,35.75359486627276,28.867743045946423,25.875310594939176,30.383623931859155,36.204692400185614,35.97882840374553,30.0298923167711,25.323082608447546,35.27208483310319,29.65841415101143,28.504832582692078,32.87959389646801,31.293690479759505,29.563208994625974,34.25649543767065,35.31598459319909,38.66280411753045,33.227184075504034,23.367407660466192,37.569995828198294,28.438115638688455,33.29768292814054,37.9760214416513,28.204693009408132,40.147190923579636,29.879006296970246,31.15776077998796,32.09964557723916,39.29595824812425,34.17512626071855,26.42329237660384,27.298513180274547,30.900418269294132,29.906853445930555,33.239555963927025,29.360396326740332,29.92441218461639,28.964592741063385,31.506097169765635,34.71822999037448,31.271301485962532,29.54047149845734,33.60051081611237,29.46811515365453,37.687879850227326,35.213326222885684,31.420260265393047,28.985628644224406,32.357394415415804,26.851378657705887,36.161322294831876,31.491532346668475,26.909264389992217,28.426925129309602,35.9419806890438,24.900080371687245,33.54060421348716,32.37645855392836,34.815321118539636,33.77955422569989,27.8376774615175,34.01872413287574,34.924635884766964,33.635104968963,30.556377388552033
2,32.66104131050001,30.96545659242489,35.839617985097966,36.5819444601296,34.29917565246773,28.089368198336544,33.02763696110775,40.13473447162,32.9929005465958,31.628756423716336,33.677570932591664,28.100063232753556,34.81858209235614,32.3403586975061,38.258413674503345,38.56834118069638,27.29574102109825,30.694883099595113,35.1136794251223,37.4697002620558,25.315019138780556,38.761625183749686,32.55547306722092,36.62299382203695,34.906320402037984,29.62553691785022,29.584917684282967,31.01690862081168,33.95434380557369,36.66078361970261,31.229658855156284,29.988052271327682,38.590405492113575,27.902356691667517,35.83176574284067,30.033121811536358,32.38826447694172,43.928417512414974,42.502657754795734,24.455855024187482,37.96946901596852,32.15630605122782,40.643700283670874,27.62215157637995,39.536602097872475,26.4239500124951,33.652964547652466,30.32087828384944,28.190029915897618,34.09734582790569,30.755860596886627,33.173637011325866,28.424136345732485,41.208368635614264,38.655880060331135,39.609981310794225,28.097415095422445,34.73756424154024,34.5262711096923,33.591790623667215,32.38846521523246,30.587856646732078,36.2134910395628,33.18911346063782,23.6726498465176,29.54901441821867,37.12743750968265,35.40705594803223,33.904509196773624,32.40366330530148,33.19688139273353,38.416733008272836,33.88472198953928,38.45953998839932,34.53812537951138,31.24489600524852,33.408401017065444,35.53023508614326,34.263330546273004,20.172339478121856,32.77647672420578,37.41669507654858,33.40845187986106,31.325503461655728,37.78415547976275,33.092326092017416,36.8441725804824,30.73958980078787,33.53030401365922,34.01483451388784,35.14766767929287,39.70765317462613,38.44771738179457,37.482035026039306,38.76137449190107,34.89172951125284,41.63230682930663,32.9624461977415,34.26734582172074,29.864093706555153,37.121542077234615,34.31725780498665,40.94557777014529,30.19779318064576,33.19196273742298,39.576551930755116,30.91732509072305,37.33678436423571,30.091936026623635,34.949649685305474,29.434640772145897,35.6156214761255,32.361013102596694,36.89912321257093,32.340901301748175,29.467494351985593,32.537560267056804,39.31491463994238,41.05346760720853,40.71695607882121,31.511912600416593,29.547065106350033,29.686830635238085,31.533861431960577,35.59321620737828,31.862029551704424,34.61793219134048,35.74354994351401,36.371235066158,34.38978862024757,29.898651761611863,35.413409696428324,30.9523250188867,34.806298288847444
3,35.459934386293305,34.403538768309524,37.144028637652404,40.51581283973615,34.17317610225548,30.950666667778663,41.406459164265414,28.9393139640096,33.64725843253805,37.32393261376497,37.17699546418124,29.575986130882214,38.328080234711095,39.950439907400096,38.16121141639027,36.143369445788494,37.02598649763069,31.56323009098486,31.016342036358655,35.412734092911016,33.85259772983744,32.86979223061277,37.24804994685079,42.65837105066565,35.992384098734476,32.69480194493917,33.81301607607639,40.83317585868549,33.05214490188189,37.823757762677005,36.65946480490083,35.405179681987214,35.55202555966573,37.53683484103826,43.76499986093455,40.215869752511814,31.867499444556135,37.314008860102724,33.28489065811464,34.959553078685275,26.993036768556255,36.283472197116346,32.377596721773656,35.31582315808021,41.50046469192844,46.850558247454934,35.069951674808195,34.795835476812606,32.907465766124794,37.96413305822895,38.188633868947555,44.983609137429,44.16249384181488,34.933551790400735,45.12496489086335,40.847475364977605,31.641933635307055,35.18885868991503,35.79681755289335,37.39166501441775,38.854486886918416,34.08426983303595,32.4201503557385,38.87770410119926,36.43174650533472,38.741158854309276,36.72052972642152,37.57745650247283,39.23912638390149,33.17678810469783,31.98229074920746,39.318184530960494,35.51035220283419,39.09107864009588,33.503979412478735,36.22056075237941,36.57841114894453,37.408478905630965,36.82052757312627,31.21236743254489,41.67630756348498,38.26047864645254,40.90322626358265,40.735150797236045,38.72455840534059,41.62485357621226,39.8909473214941,44.60945198459222,29.413133031071837,31.174171689831844,27.197652783341923,33.982054534985586,35.16815307498124,33.75970106371882,41.06278399295482,38.44730490363803,36.68122027235792,39.248442463785395,42.160241817447606,44.82912262439605,39.016743572921136,35.20167301841109,31.499823346243208,29.665967357999858,38.83828859275727,38.89563905156,35.79978764192775,40.8821413699658,36.16589899807398,36.39719186243604,40.97675241513615,44.63679925436273,44.67103328305501,30.007057425565648,40.577429226387885,33.86147591589674,34.85621639034298,41.328892515971354,42.62190296368712,37.27031999871649,41.561439428791154,35.305235189943566,32.41455889152246,38.968641270195505,38.304187554436844,36.24600012922678,34.40317296415864,38.88937557976943,33.862228036381254,34.63222583148255,40.02128176836681,30.93892063448064,32.59758081813105,35.17301648577333
4,45.512160880816275,36.766478040868925,41.674222341398135,39.94641688577286,43.225690175767284,40.914795573211215,33.655709157791875,40.31222692932443,36.69500467006013,39.99032286033264,37.880910872080484,35.13285624824663,49.61029261167446,44.10842343551131,40.65966958469838,35.06843992208458,37.93278700077539,42.36570678494403,38.19652523667948,37.18542746569452,37.22723134492604,33.467166535463875,38.67724056727538,37.67286771619695,38.80535002302921,36.82917701193681,45.2921210796829,40.7455637729118,37.653937981920116,43.424385701931314,42.629328249763944,32.01833025242035,32.710848937032026,41.34606304374457,41.83582520428765,42.728562844378196,44.71456025584909,37.32151906535506,38.74821911232016,37.77135057440408,39.8115113115365,42.08485009929883,36.58530075287405,43.765916966318905,39.218390661433574,37.19635434285813,41.82664661234255,36.1445225964431,38.34794510871454,43.13116493334624,37.75595108672923,38.33429194766649,34.28474954438065,44.93198555816794,40.2083980983527,33.499136483445085,50.113274064082944,43.948765857112114,39.928540469785254,38.77896096885307,41.14578867816496,41.309358489392956,41.79800425761449,33.940015932132106,39.04926375141681,39.811773889889494,38.81507372191409,38.08168786659654,39.68046496384635,37.61564092559457,38.97547873538385,35.98646434164054,37.91870394932886,43.24345935221294,36.470031592604094,39.6711839140115,33.89183259709662,34.112111935414696,41.607353003705796,32.519851236118,44.9413232633226,40.00572572083913,39.7573214352175,34.278432000824225,35.62621940039941,42.13825232405068,35.26038912228075,40.182384205761586,38.22726471750777,40.00926252262649,44.45581474416087,43.016855835823385,45.69176052716448,36.585018215580874,39.518991801309795,41.9897423900751,43.56860815919935,33.83341434861529,37.97446497680387,41.57820857069712,40.54645413988296,34.239147839845494,43.56253741900137,37.31125161446076,39.70667978156268,37.1316811847488,38.32515454330106,37.0688114836642,36.99318765711068,37.63085962139035,35.02756122467999,39.9480809899589,41.84893186894513,32.82179824997518,38.45405689933562,34.47707002759294,37.718250631750706,39.30295428211926,46.1299612243957,42.075912667165184,42.17726394737524,35.862495067807764,43.07368057486804,45.684490482264756,32.31652695290498,41.720084354613626,36.141966382281254,38.51762351189351,40.995555111029155,37.009480869263044,36.83906844877616,43.29315022501358,35.218163007355045,40.7307549054073
5,45.063875940095016,38.46410409356124,43.15749903333689,48.40110699997789,47.48616492805331,43.92322334743343,35.91698154970913,43.11815606897757,44.05759677377222,37.65487461348265,37.7002101365868,37.99961517262513,41.45146005856945,43.66930305065685,37.76316803975263,36.06358277342666,48.498377002325256,49.08959345297689,42.473644067025134,47.5469644245105,39.80404766766725,51.40332199813494,37.556293728037566,47.74087433157972,45.236140302186726,39.58869581800396,37.025232117279614,46.47737524191923,41.45253563609956,42.51625919963855,42.663032754628084,43.054185929011524,39.704535705048286,44.46535535413172,40.143471535779895,44.34948105496796,43.40171568908258,38.043695658653526,36.930008405052355,42.91381650028214,38.39389654149506,37.764611768641096,38.42880161197549,41.76714958662903,35.24211919416426,46.38496553165681,43.05190102726036,38.83727103030367,45.26271934667416,43.258906328647974,42.11844032101017,50.94862359769657,45.7424806957339,47.67078795884331,43.932014478336164,45.78210416421336,49.303050087179194,38.621489134353276,43.748492054700264,38.3915628681455,46.689858333226404,45.86391962412745,47.90692297402337,42.2668212838723,38.28384284253671,43.611441870462286,46.756150550249785,44.98767054266152,47.056275572794604,39.0548264897411,36.05198516388544,43.97976256886454,44.54696110329169,38.08707911237168,43.0731305805645,42.474352003058286,41.17694427093867,45.03225500866134,44.26787488148119,37.12634755806875,43.59044102069426,46.06321464234886,38.12267065269629,42.59071254217507,40.34403770883682,45.24121105699217,36.03431663694664,40.0779682121254,43.0256255848988,44.732873207883266,46.4431332442075,45.91037353187754,46.00187156490012,37.77593898285822,38.61890008160828,48.865728125791534,45.875430435653776,47.92934005165147,44.27963597246679,42.2294720263439,42.382012594019535,41.30189624224503,39.49002772968714,43.265653243879164,39.72925055807282,39.91324275242859,36.31367637868303,46.99104896844228,43.4637125766308,41.47858704965981,45.09563422211896,43.73696029618989,42.02328031960464,41.752485063181005,40.51531912083282,31.648455765027087,45.94690634228036,40.87495070377244,40.688530680462414,44.055222379710145,45.34646308307209,50.17629581050503,40.08944291653003,40.87675752318832,33.18017505721075,52.93279305891144,42.916326028245294,37.6317365838417,42.835142369985505,39.275104689640834,41.37278280397111,44.34730171897471,44.34260141522407,35.9147616397367
6,42.91506688444025,44.89816711851592,47.33838505320814,40.82242755437419,40.45282179558059,46.67653233077533,41.872147842809284,40.67749173488176,41.85673945068521,41.94461236322723,42.4251148835871,46.18861498523327,44.19129134983799,44.087263733394046,40.49890226304518,52.557174939323694,51.034105616867556,51.73349954181657,43.602991296485506,41.409377377794776,46.14114167162446,41.53978530351427,41.00795930458494,47.45938125100885,51.481080676458404,40.582687421878504,38.14623291789,40.44280381704513,41.23315405318537,44.468484638198646,43.218597369911464,33.14693394768243,45.867954431471674,51.921073509730874,43.74582577516767,49.8131466052479,46.387423267575855,38.245156413050005,43.579784089967816,39.82521937333359,40.025098223766214,45.50923841229487,44.337972710315704,41.80184470877088,49.22138829007839,49.377907027788744,40.89332589163297,44.658082895899724,45.82366608231356,49.64518859848823,48.66519088161376,48.38548428610238,42.097595652077395,51.02880623309669,49.74225382772065,45.941237558660326,50.72218316595305,46.675618300613465,41.586605929832416,40.3509411261466,48.531330880834574,50.21637205616511,50.04266067121805,51.84031479042586,45.60940377132798,45.57642200002536,44.91443517001133,49.876095082198134,45.422633630876064,41.292563363573606,44.229180134210246,42.28710545046222,43.289157831420916,53.06281717030972,45.48409145229888,40.24681425468162,41.519866172764615,42.98257593934972,42.67578540690597,53.408923876870375,44.31484587793255,47.28728672384446,42.319593427505986,46.446368409566645,42.76549042119792,44.87957172822073,41.75953368943718,46.09281403208004,46.304662057588885,51.46214913568898,43.80351312219292,46.41457344923112,52.68226992761583,47.40822765318168,42.61141425520573,47.56928207220798,45.983372578233556,40.548818040572954,45.94465674976538,45.35847704127084,40.02126548777781,45.29733438219615,45.464230163306596,40.396708469511026,44.89042253636449,40.30826488661498,53.559585179241985,48.26727251401798,45.81724122070599,46.024076724173504,50.12559357063015,48.92760536094386,49.26242973796865,39.85218298705323,39.91772734790939,39.97281937524719,46.89503232164418,40.4105781967836,47.0748375869553,45.62719621909959,42.59307557169194,48.91677744179251,46.80707890777123,44.4495351908663,44.25710741741134,42.39708747918121,41.67778203283985,48.58271124345777,46.94463451391464,45.62824611888893,43.34481419176529,44.4237536330697,49.405614062778156,41.74293009009087
7,49.7620320072206,44.164293575548555,43.52259571101033,47.5127435089407,46.97933901430105,46.20800664687539,51.0611514103028,48.20058242586356,46.22972972307279,50.84200484994021,39.299369226501966,43.24593818499643,48.83903812827535,48.18657774303445,49.271131135116526,53.23272890843201,51.42817361024036,52.61927254091227,51.437146056554916,48.45562136830806,54.220774595057584,51.03737613749229,41.00553315806807,53.072275642879056,48.601343987552475,42.68418377117803,52.20780485115637,51.72693247699636,43.250268960835704,51.592308383697755,50.03342542469084,46.17608121282042,44.94589886550726,42.07465903500435,43.352911000570735,46.38455193678795,46.26836848918922,49.927891349801925,42.672473980817216,52.074988880887275,47.75891960451743,45.77570708963658,52.167130294949445,42.15077125904071,49.54056816145595,50.166058185609515,49.52302986672878,46.91049922804055,47.86877412088958,50.501218601471166,50.987880014199085,51.672918264449955,40.737048386802066,44.78347353309714,57.003602201147686,52.94950655917259,48.28177951514771,47.375817570360994,48.0495021714774,40.63334697448095,45.01361202058259,47.194312630860864,53.33020834529475,48.12211298785948,52.45014126633299,41.993015625106324,55.00247154056937,46.000768489445846,53.49060414373673,40.84618802069047,52.64774092823102,48.98620984008813,46.24692921044154,49.996778248825976,47.17100751650131,51.74979694447811,45.35430659821628,42.838332520259925,48.305409285442096,43.69562331911288,47.778962586320354,49.54013324171676,50.77850162490982,48.373482534784735,42.988847623635856,43.117033564738264,47.041708790730816,45.82065430585169,51.75781961954284,56.07266196777415,50.15529783535347,46.96954229575744,46.055935997971176,45.10061531504599,47.82344387765673,48.542145941828856,52.98097366376949,45.88236596408088,47.66458726936553,47.07490666415813,48.79317216779518,42.840629196766756,41.267437898669435,44.78718907900729,47.26399401020306,50.456742812561274,48.51520674601344,52.21580477743062,48.03622981158917,49.45303032310372,50.284524253363244,46.3580936047607,52.78657056555307,45.562802017676255,55.24916702804685,48.19953134684729,55.40827432539335,50.88613426687199,47.700235632817346,43.991970682930635,46.53129186136681,55.999965804979965,47.91771024587982,52.51377691430321,54.00532076067978,51.78578027211184,53.253139241354916,53.2220821762922,46.346062642380645,48.36794546262479,47.4622811853836,45.75807464020835,48.84018440439961,55.16421776874681
8,48.536948466323565,51.35393477876816,53.456475185111714,48.31828939879972,50.10084560492613,49.472845612662894,43.531342562350375,54.26436802123436,57.91642600853827,51.17951227763203,57.33342973538946,44.80785543517326,55.569176976867574,51.33774310890609,45.37913316067732,54.37026333428529,49.878449103868554,55.445077895725625,51.72395518656871,54.071079645473496,49.38333846564806,53.76308196424521,47.14436901928386,53.221433836085104,53.01501985084726,47.332678680525596,53.46805696460555,58.79301203843368,50.96458680627689,60.91707702654394,45.0990415317612,53.77279208277055,49.88206552755701,55.44989722809089,52.87917414157512,60.93915684785549,49.30593658222588,54.01691569063192,52.52245226924285,48.575281854131596,41.09854502405427,56.24805024986027,56.512771275686,47.463214401947035,49.276721976995915,48.21954933487666,41.60289728327038,48.241513944296415,58.630581302838976,58.15155943532556,47.90594408859579,50.43265923748274,50.51723258496743,55.07392550701384,52.37554037313526,52.21034152463119,53.24303603489016,51.631023645695365,54.083781099807844,54.9230654170639,49.936855751878966,52.66949218088476,51.83692218368542,48.279121208268435,49.65147491770313,52.05300504749292,48.477695386392206,62.33275545571381,46.70188312728305,48.30301410831414,43.17943997202418,53.38514826391966,48.90175029072584,57.69356492214689,44.96178280082022,48.851102866620984,45.77454767870986,53.23026798081863,41.298076838517886,47.614272560943476,59.39135765345791,54.525902695620765,52.03410559327848,56.769808421042136,50.85079217188965,53.029581804583394,47.350926469083944,57.85133084893899,52.75320275209961,47.00285643064706,46.05980606893791,52.54607101354706,56.92527003003527,49.72333035796459,54.056704908394046,55.64282100399814,40.284160226082435,51.08615537531672,52.02321475445357,48.0471107780569,49.97515202920549,47.88575581775294,41.759576457273255,48.72529482131387,48.25257292520186,53.51869980741126,52.718339683799954,51.80736928993075,43.90509200629895,53.51663801244758,52.20127342977173,57.14460575141248,48.06660783576345,55.4361266758893,49.397353192919,48.217607902270714,49.018871243332555,43.856597200030556,52.78895055193408,55.00189036435984,52.97270276776237,52.23929589447408,49.80111491915331,59.14701035561512,62.968138980200315,59.77223173814821,49.41639050992693,54.76409875281725,54.15850847249749,48.91942869462185,47.41645304588454,49.40719085994544,46.88908100471037,54.21165794110092
9,51.326527627989066,52.855168472308364,51.50065970666581,46.61762954807008,52.56497947514928,54.03301358089624,40.98119532984769,42.922304652551674,46.19653406570742,60.14341093992746,45.815171217383686,48.315870750057094,48.16736626809975,50.957042563460675,51.56249077678728,55.509566741586475,62.02453883586875,62.792762823824496,51.17642391460707,53.555786829395565,50.633447208943295,45.430070576044315,54.84855956207239,60.72172131064604,54.509612399773964,51.44955920266676,52.99461054870435,56.2224181933305,49.16798050639831,61.05399111802271,50.65606992498328,48.62069065247128,55.487503311613224,50.62600647417303,54.28651982019693,65.3024821492155,58.131917009053595,52.736356464389814,51.46643017331272,61.40604052245467,43.517758388102656,49.818484019125364,50.428698087329344,47.409666433919746,54.113964195211864,52.78485476942193,56.02303489711229,51.70537097780466,62.12139992730709,60.261269259776746,54.813733322170954,57.847348169084256,58.61641358015654,55.46836758465256,60.38142293484898,53.758985622985655,57.462734129004055,51.16913836926565,51.648214775560874,50.5636894484679,52.462917040586454,54.64002131114957,51.606198692343916,62.01680761343695,57.572831151286664,49.36343355200129,51.32311037105447,49.053428350566506,52.93918683773185,52.88383677540544,50.6416248772016,52.532359347243464,58.482141228489134,59.79192400909658,48.27525331916749,51.311154785237896,52.77489787162379,49.413570338444835,57.42554228958956,51.15820357856978,60.9763111808189,57.81060390285294,56.55371865720389,48.28990169442073,61.16330093252873,56.002859546230155,36.16900866242075,49.91229202125606,53.71690586224983,54.27371956743862,51.95823763982626,55.98726659268043,53.26564114579635,61.966324626947134,54.6977129522597,56.27695076150255,44.252329660874,48.551798779184125,50.6827462185253,53.979894503898024,60.15016128576246,51.635483018997,57.67269286048547,52.15622152931982,52.38198138661439,45.91251874720197,59.03649621601051,53.19992970659852,50.38341614581049,46.8270053851445,53.62579501993227,57.97769422854912,58.61041744158577,56.15471307042492,51.99973311445713,56.13801058455724,55.93878234723222,60.68665435905744,62.3500392882592,63.35719889814087,49.495146148574634,53.51211253306408,50.09172227997779,56.28393968924345,47.8231675650361,60.06228324974769,51.318591376950266,55.29630426801789,50.0649353338164,55.295271853025106,56.20280447964229,53.459701762164514,54.78330224434914,54.87756195501033
